FrameCount, Within Perception?, Within Eating Distance?, Action
1,0,0,follow
2,0,0,follow
3,0,0,follow
4,0,0,follow
5,0,0,follow
6,0,0,follow
7,0,0,follow
8,0,0,follow
9,0,0,follow
10,0,0,follow
11,0,0,follow
12,0,0,follow
13,0,0,follow
14,0,0,follow
15,0,0,follow
16,0,0,follow
17,0,0,follow
18,0,0,follow
19,0,0,follow
20,0,0,follow
21,0,0,follow
22,0,0,follow
23,0,0,follow
24,0,0,follow
25,0,0,follow
26,0,0,follow
27,0,0,follow
28,0,0,follow
29,0,0,follow
30,0,0,follow
31,0,0,follow
32,0,0,follow
33,0,0,follow
34,0,0,follow
35,0,0,follow
36,0,0,follow
37,0,0,follow
38,0,0,follow
39,0,0,follow
40,0,0,follow
41,0,0,follow
42,0,0,follow
43,0,0,follow
44,0,0,follow
45,0,0,follow
46,0,0,follow
47,0,0,follow
48,0,0,follow
49,0,0,follow
50,0,0,follow
51,0,0,follow
52,0,0,follow
53,0,0,follow
54,0,0,follow
55,0,0,follow
56,0,0,follow
57,0,0,follow
58,0,0,follow
59,0,0,follow
60,0,0,follow
61,0,0,follow
62,0,0,follow
63,0,0,follow
64,0,0,follow
65,0,0,follow
66,0,0,follow
67,0,0,follow
68,0,0,follow
69,0,0,follow
70,0,0,follow
71,0,0,follow
72,0,0,follow
73,0,0,follow
74,0,0,follow
75,0,0,follow
76,0,0,follow
77,0,0,follow
78,0,0,follow
79,0,0,follow
80,0,0,follow
81,0,0,follow
82,0,0,follow
83,0,0,follow
84,0,0,follow
85,0,0,follow
86,0,0,follow
87,0,0,follow
88,0,0,follow
89,0,0,follow
90,0,0,follow
91,0,0,follow
92,0,0,follow
93,0,0,follow
94,0,0,follow
95,0,0,follow
96,0,0,follow
97,0,0,follow
98,0,0,follow
99,0,0,follow
100,0,0,follow
101,0,0,follow
102,0,0,follow
103,0,0,follow
104,0,0,follow
105,0,0,follow
106,0,0,follow
107,0,0,follow
108,0,0,follow
109,0,0,follow
110,0,0,follow
111,0,0,follow
112,0,0,follow
113,0,0,follow
114,0,0,follow
115,0,0,follow
116,0,0,follow
117,0,0,follow
118,0,0,follow
